Designator,"Mid X" ,"Mid Y",Layer,Rotation
"SBus1",92.875980 ,-41.257460,Bottom,90.000000
"C1",16.495980 ,-14.997460,Top,0.000000
"C2",69.975980 ,-75.747460,Top,0.000000
"C3",7.495980 ,-70.997460,Top,90.000000
"C4",83.495980 ,-67.997460,Top,0.000000
"C5",48.995980 ,-80.067460,Top,90.000000
"C6",62.995980 ,-80.359960,Top,90.000000
"C8",30.495980 ,-43.197460,Top,0.000000
"C9",79.745980 ,-5.487460,Top,270.000000
"C10",70.995980 ,-19.247460,Top,180.000000
"C11",70.995980 ,-39.247460,Top,180.000000
"C12",70.995980 ,-59.247460,Top,180.000000
"C13",75.495980 ,-74.447460,Top,180.000000
"C14",41.995980 ,-80.067460,Top,90.000000
"C15",12.145980 ,-57.997460,Top,180.000000
"C16",12.145980 ,-56.497460,Top,180.000000
"C17",11.150980 ,-60.497460,Top,180.000000
"C18",17.885980 ,-44.497460,Top,180.000000
"C19",20.995980 ,-47.267460,Top,90.000000
"C20",11.245980 ,-41.997460,Top,90.000000
"C21",3.295980 ,-37.747460,Top,0.000000
"C22",37.495980 ,-70.972460,Top,180.000000
"C24",52.745980 ,-45.737460,Top,180.000000
"C25",12.930980 ,-35.902460,Top,270.000000
"C26",15.180980 ,-35.902460,Top,270.000000
"C27",75.495980 ,-78.947460,Top,180.000000
"C31",83.495980 ,-47.997460,Top,0.000000
"FB1",38.995980 ,-80.547460,Top,180.000000
"GRAPHIC1",42.465980 ,-22.787460,Top,90.000000
"GRAPHIC2",41.415980 ,-53.717460,Top,90.000000
"J1",12.495980 ,-14.997460,Top,0.000000
"J2",2.645980 ,-76.647460,Top,270.000000
"J4",5.245980 ,-48.997460,Top,270.000000
"J5",68.995980 ,-80.747460,Top,0.000000
"JAB1",58.745980 ,-81.297460,Top,180.000000
"JCD1",26.995980 ,-81.297460,Top,180.000000
"R1",76.495980 ,-66.537460,Top,270.000000
"R2",76.495980 ,-69.457460,Top,90.000000
"R3",13.995980 ,-77.322460,Top,0.000000
"R4",13.995980 ,-75.322460,Top,0.000000
"R7",50.995980 ,-81.697460,Top,90.000000
"R8",48.995980 ,-82.247460,Top,90.000000
"R9",3.808480 ,-34.747460,Top,0.000000
"R10",48.495980 ,-71.482460,Top,270.000000
"R11",46.995980 ,-69.812460,Top,90.000000
"R12",20.495980 ,-33.037460,Top,180.000000
"R13",82.245980 ,-70.747460,Top,180.000000
"R30",76.495980 ,-46.537460,Top,270.000000
"R31",76.495980 ,-49.457460,Top,90.000000
"U1",77.995980 ,-17.997460,Top,0.000000
"U2",77.995980 ,-37.997460,Top,0.000000
"U3",77.995980 ,-57.997460,Top,0.000000
"U4",79.495980 ,-77.997460,Top,180.000000
"U5",45.495980 ,-81.497460,Top,0.000000
"U6",9.995980 ,-76.322460,Top,90.000000
"U7",15.495980 ,-50.672460,Top,180.000000
"U8",42.995980 ,-69.997460,Top,180.000000
"U10",79.495980 ,-73.497460,Top,180.000000
"U_INT1",79.495980 ,-47.997460,Top,0.000000
"U_INT2",79.495980 ,-67.997460,Top,0.000000
"X1",18.620980 ,-36.247460,Top,0.000000
